X0,Y0,X1,Y1
"","",301.790,121.6613
"","",302.318,121.6104
"","",302.847,121.5588
"","",303.375,121.5066
"","",303.904,121.4536
"","",304.432,121.3999
"","",304.961,121.3455
"","",305.490,121.2904
"","",306.018,121.2346
"","",306.547,121.1781
"","",307.075,121.1209
"","",307.604,121.0630
"","",308.132,121.0045
"","",308.661,120.9452
"","",309.189,120.8852
"","",309.718,120.8245
"","",310.246,120.7631
"","",310.775,120.7010
"","",311.303,120.6381
"","",311.832,120.5746
"","",312.360,120.5104
"","",312.889,120.4455
"","",313.417,120.3799
"","",313.946,120.3136
"","",314.474,120.2466
"","",315.003,120.1788
"","",315.532,120.1104
"","",316.060,120.0413
"","",316.589,119.9715
"","",317.117,119.9009
"","",317.646,119.8297
"","",318.174,119.7578
"","",318.703,119.6852
"","",319.231,119.6118
"","",319.760,119.5378
"","",320.288,119.4630
"","",320.817,119.3876
"","",321.345,119.3115
"","",321.874,119.2346
"","",322.402,119.1571
"","",322.931,119.0788
"","",323.459,118.9999
"","",323.988,118.9202
"","",324.517,118.8399
"","",325.045,118.7588
"","",325.574,118.6770
"","",326.102,118.5946
"","",326.631,118.5114
"","",327.159,118.4276
"","",327.688,118.3430
"","",328.216,118.2577
"","",328.745,118.1718
"","",329.273,118.0851
"","",329.802,117.9977
"","",330.330,117.9097
"","",330.859,117.8209
"","",331.387,117.7314
"","",331.916,117.6412
"","",332.444,117.5503
"","",332.973,117.4588
"","",333.501,117.3665
"","",334.030,117.2735
"","",334.559,117.1798
"","",335.087,117.0854
"","",335.616,116.9903
"","",336.144,116.8945
"","",336.673,116.7980
"","",337.201,116.7008
"","",337.730,116.6029
"","",338.258,116.5043
"","",338.787,116.4050
"","",339.315,116.3050
"","",339.844,116.2043
"","",340.372,116.1029
"","",340.901,116.0008
"","",341.429,115.8980
"","",341.958,115.7945
"","",342.486,115.6902
"","",343.015,115.5853
"","",343.544,115.4797
"","",344.072,115.3734
"","",344.601,115.2664
"","",345.129,115.1586
"","",345.658,115.0502
"","",346.186,114.9411
"","",346.715,114.8312
"","",347.243,114.7207
"","",347.772,114.6095
"","",348.300,114.4975
"","",348.829,114.3849
"","",349.357,114.2716
"","",349.886,114.1575
"","",350.414,114.0428
"","",350.943,113.9273
"","",351.471,113.8112
"","",352.000,113.6943
"","",352.529,113.5768
"","",353.057,113.4585
"","",353.586,113.3396
"","",354.114,113.2199
"","",354.643,113.0996
"","",355.171,112.9785
"","",355.700,112.8567
"","",356.228,112.7343
"","",356.757,112.6111
"","",357.285,112.4872
"","",357.814,112.3627
"","",358.342,112.2374
"","",358.871,112.1114
"","",359.399,111.9847
"","",359.928,111.8574
"","",360.456,111.7293
"","",360.985,111.6005
"","",361.514,111.4710
"","",362.042,111.3408
"","",362.571,111.2100
"","",363.099,111.0784
"","",363.628,110.9461
"","",364.156,110.8131
"","",364.685,110.6794
"","",365.213,110.5450
"","",365.742,110.4099
"","",366.270,110.2741
"","",366.799,110.1376
"","",367.327,110.0004
"","",367.856,109.8625
"","",368.384,109.7239
"","",368.913,109.5846
"","",369.441,109.4446
"","",369.970,109.3038
"","",370.499,109.1624
"","",371.027,109.0203
"","",371.556,108.8775
"","",372.084,108.7340
"","",372.613,108.5898
"","",373.141,108.4448
"","",373.670,108.2992
"","",374.198,108.1529
"","",374.727,108.0059
"","",375.255,107.8581
"","",375.784,107.7097
"","",376.312,107.5605
"","",376.841,107.4107
"","",377.369,107.2602
"","",377.898,107.1089
"","",378.426,106.9570
"","",378.955,106.8043
"","",379.483,106.6510
"","",380.012,106.4969
"","",380.541,106.3422
"","",381.069,106.1868
"","",381.598,106.0306
"","",382.126,105.8737
"","",382.655,105.7162
"","",383.183,105.5579
"","",383.712,105.3990
"","",384.240,105.2393
"","",384.769,105.0789
"","",385.297,104.9179
"","",385.826,104.7561
"","",386.354,104.5936
"","",386.883,104.4305
"","",387.411,104.2666
"","",387.940,104.1020
"","",388.468,103.9367
"","",388.997,103.7708
"","",389.526,103.6041
